nb;time
4;2801
6;3701
5;1856
9;2977
9;2661
2;1224
2;765
6;1819
7;2797
8;3590
5;2157
6;2028
9;2504
6;4456
2;1246
5;1802
3;1312
2;1088
2;779
6;3324
2;1039
5;2688
4;1755
5;1815
6;1582
5;4377
3;1035
4;1283
5;1797
1;845
5;1850
5;1250
8;7560
8;2877
5;1916
3;1307
9;2869
6;2291
7;2598
8;3739
8;5200
2;1097
4;1036
4;1658
8;9529
6;2206
9;3565
3;1399
6;2406
5;1281
3;1245
5;1565
5;2918
1;1080
6;3020
3;1598
4;1817
1;1178
7;3540
1;1130
9;3342
6;2660
3;8508
9;3566
1;1128
4;1510
6;2116
2;1075
6;1542
4;1462
2;1117
3;1192
7;2743
8;2413
5;1878
8;3857
2;1159
7;2937
9;2517
7;2262
9;4664
7;2062
3;1295
3;1261
5;1934
5;1438
8;4595
5;1438
2;1246
8;2953
6;1597
1;1054
1;902
5;1470
2;1031
9;4779
6;1640
1;1031
8;2801
4;1447
8;3124
7;2110
6;1598
6;3086
2;1162
9;4054
3;2337
4;1429
8;2535
5;1495
4;1526
9;2646
9;7965
5;2086
5;2022
4;2614
2;1021
4;1597
5;1462
5;1642
3;993
3;1278
3;1415
7;2199
2;1135
9;6749
5;1987
1;1105
5;1541
6;2560
8;2397
6;2752
6;1834
3;1240
6;2331
7;2583
5;1598
5;2102
9;3764
5;1661
3;3517
5;2791
2;2819
1;1103
1;885
2;918
8;3432
5;2283
7;2918
8;8951
6;2664
1;1236
3;1183
1;1606
7;3194
1;888
7;2058
1;946
5;2734
9;2067
3;1014
9;3742
9;2814
4;2382
1;838
8;4596
7;2031
8;2183
3;966
7;1870
6;1974
1;1014
5;1254
3;1070
6;1438
1;990
7;2399
9;3590
2;983
5;1527
7;2351
5;1375
2;991
4;1502
1;718
9;3038
7;2450
8;2598
8;2208
6;1861
6;1383
2;1295
1;807
5;1779
4;1148
1;764
7;1797
4;1477
9;2560
5;2542
7;3047
9;2545
6;1954
1;716
5;1611
6;1735
9;3009
8;2497
7;2240
4;1448
5;1570
8;2123
7;1866
4;1348
1;745
7;3461
1;963
2;825
2;700
5;1976
7;2131
4;1272
2;874
5;1780
4;1960
5;2132
2;887
6;1563
8;3609
6;1578
8;2543
5;1437
8;1619
4;1861
9;2145
3;1249
6;1714
2;871
5;1321
2;812
6;1561
1;659
5;1230
1;770
4;1043
6;1493
5;1897
6;2190
3;1088
6;1449
9;4006
2;1225
9;2929
1;1027
4;2933
3;9661
9;2631
5;1868
8;2183
4;1912
2;1018
5;1479
1;707
3;1044
3;5247
7;2068
5;1480
3;1110
5;1436
1;743
9;7300
9;2558
1;1388
1;707
6;2435
7;4253
5;1812
5;1888
5;1512
2;842
5;3053
2;774
8;2626
6;7876
6;1412
7;2294
9;2513
5;1673
9;4747
5;2313
5;2190
9;1954
9;4193
6;2935
8;2005
5;3247
8;2386
6;1653
2;876
3;1065
1;764
6;1578
3;7559
8;4679
5;2948
3;1360
6;2511
5;2271
4;1888
5;2336
7;2719
5;1920
5;1695
7;2655
3;992
8;2864
8;3182
6;2239
5;1921
3;1247
2;1038
8;3296
2;831
6;2527
5;2975
3;993
1;1026
7;1094
3;1045
3;1010
4;802
3;845
5;941
5;2294
8;2254
4;1184
4;1138
5;1038
5;809
4;957
3;869
1;898
5;1147
3;925
8;1701
8;1624
2;807
5;1299
7;2287
7;1627
5;1270
5;941
9;1223
8;2179
3;1125
2;634
5;1289
6;1747
5;1391
1;938
3;860
6;1144
3;1059
7;1129
7;3305
2;1040
2;742
7;2122
4;1524
2;701
7;2028
2;802
9;2737
1;784
1;645
4;1306
5;1720
1;715
2;653
5;1285
7;1719
2;770
1;650
6;1821
7;1751
5;2660
5;6541
6;3020
1;1227
2;772
1;676
9;3291
1;697
4;1594
5;2226
6;2409
3;783
5;1451
7;1345
4;1485
8;2481
3;648
5;1670
5;1151
7;1455
9;1922
8;1851
6;1618
9;2850
9;1727
2;888
1;743
6;1543
9;904
3;1018
5;1291
1;684
1;637
5;1573
9;955
9;747
1;627
1;570
3;1145
7;1666
7;1928
5;1506
5;989
3;1128
2;668
4;1322
1;622
6;2487
4;1143
5;1380
8;1556
8;1165
8;794
2;1050
7;1260
7;1954
3;1081
6;3109
6;1378
4;1386
6;1352
1;747
5;1306
3;5576
8;1531
2;857
9;763
7;1385
8;4393
8;2256
2;861
2;612
2;550
2;542
7;951
5;5247
2;752
3;1284
7;1432
5;1897
5;1160
7;2101
9;1048
9;810
8;1027
8;2120
9;2138
3;1082
4;934
1;731
7;1835
5;1033
4;1364
5;1197
1;652
3;957
8;1174
5;2100
2;1004
8;1322
2;861
4;1670
2;683
8;2574
5;1702
9;1510
2;816
6;2030
4;1391
6;1844
8;2209
5;1307
5;949
4;1051
8;1285
4;1464
7;1582
5;2116
9;956
1;668
1;506
7;2148
1;715
9;816
9;667
2;810
8;1431
2;778
3;1052
5;1781
5;942
2;673
6;1332
1;684
1;538
7;1699
3;1023
3;887
5;1244
9;909
6;2016
3;1337
4;879
7;1369
8;1384
9;180
3;1321
5;1517
5;2232
6;2485
3;935
5;1250
5;1135
5;1342
5;1238
1;763
4;890
8;1277
3;998
7;1983
9;927
3;923
7;1673
6;2334
5;2263
3;792
2;795
5;956
1;1035
1;620
5;1272
9;986
7;1493
5;1579
4;2242
2;712
9;2017
9;708
9;703
3;1111
3;765
9;743
8;231
5;1707
8;2308
5;1782
8;1432
5;1574
7;1591
1;706
7;1377
5;2629
8;1174
7;1922
5;1594
9;1493
5;1371
4;1274
9;1206
3;1151
5;1277
8;916
3;1098
5;1571
5;1032
8;994
6;2125
9;1276
5;1291
4;2113
1;748
7;1285
5;1351
5;1009
6;2957
2;1370
3;1059
1;769
1;621
9;1604
5;1298
6;1439
8;1726
9;1230
2;1004
5;1629
4;1192
2;794
5;1324
2;684
6;1507
3;1592
5;1256
4;1112
3;1322
5;1002
5;1150
7;1808
5;1067
2;814
7;1331
7;2201
5;1161
6;2703
3;1302
1;892
5;1801
9;1575
7;1400
4;1066
8;1240
3;1164
3;829
3;680
3;589
4;1416
9;3468
9;780
8;887
5;1353
5;1034
9;2263
3;982
5;2067
3;940
9;1943
4;1939
9;2160
9;787
9;846
2;1415
6;1588
5;1638
3;828
5;1975
8;1640
7;2482
3;2303
7;1760
5;2137
3;1516
4;1351
4;966
3;2002
3;3577
8;4524
2;1559
6;2745
2;1854
1;1222
9;3808
5;2599
9;4521
4;1925
9;3847
4;2384
9;3960
6;2711
1;1478
2;1560
7;3200
2;1200
9;8134
5;2712
5;2438
5;2503
4;1857
5;2119
6;2952
6;3310
1;1471
3;1865
9;3649
5;2677
3;1583
9;3776
8;3953
4;1621
7;2790
5;2793
5;3231
1;1782
3;1478
4;1998
5;2856
8;3967
9;4190
1;1479
8;5735
2;1335
8;4143
9;7216
9;4080
1;1344
6;2854
6;2720
8;4558
1;1279
9;6136
5;2342
1;1143
4;1943
2;1255
8;3425
1;1174
6;3272
4;2056
8;4201
2;1102
2;1143
5;2192
4;1784
2;1151
4;1878
3;1697
9;1751
2;1120
5;2311
2;1002
3;1468
5;2409
7;3605
2;926
9;3199
5;2599
8;4798
8;4560
7;3257
8;5070
6;3414
2;1071
3;1312
7;3213
4;1416
5;2270
3;1270
3;1985
9;4750
6;2679
2;1080
1;1168
5;2224
1;1046
1;958
2;1120
5;2864
4;2463
1;1312
5;2745
8;3998
1;704
2;640
9;1870
2;898
2;662
3;3172
6;1352
4;1102
3;1128
3;748
1;564
9;1812
6;1882
3;744
6;1354
5;1220
5;1340
2;666
4;1008
5;1032
9;1550
7;1528
5;1022
6;2116
3;1004
1;634
4;1038
7;1432
2;652
4;1214
5;1242
6;1200
3;1130
2;678
9;1490
7;2058
5;2576
9;1560
8;4054
5;1310
5;1252
3;954
8;2406
7;1622
1;1162
1;1114
9;1712
3;802
5;1638
9;2444
8;2192
8;1896
8;1688
8;2230
5;1574
6;2142
5;1050
8;1910
8;1698
2;686
6;1882
2;646
7;1880
1;690
7;2292
1;660
3;746
5;1498
4;1000
7;1792
5;1392
5;1308
6;1714
5;1970
8;2398
8;1700
5;1730
6;2010
4;1088
4;850
6;2568
4;1198
5;1530
1;1066
7;3610
8;2554
7;3086
9;2448
3;920
7;1444
5;1374
2;736
2;664
5;1368
5;1470
5;1094
3;990
5;1508
8;1918
4;1300
6;1650
6;1668
5;1340
8;2738
1;722
7;5224
6;3160
5;2076
1;1036
8;1758
9;1874
4;1138
3;948
5;1708
5;2286
6;3195
1;1069
3;7733
1;870
6;2023
5;3854
2;991
5;9287
2;1598
5;1066
8;3133
3;883
3;2679
4;2026
7;1660
2;1013
6;1742
3;857
1;1598
9;4303
4;1285
7;3757
2;1025
5;6817
8;2984
7;2368
8;2995
7;2175
9;1980
5;1661
8;2369
3;1111
9;3222
6;2422
2;1104
7;2208
1;942
4;1849
6;2445
4;1469
5;1872
4;1375
7;2405
5;1520
2;833
3;935
9;2921
4;1079
3;901
1;560
4;8982
8;3273
5;3989
8;2793
8;3245
4;1894
5;1784
3;952
3;686
5;2165
3;808
7;3344
2;1238
3;735
7;2630
3;826
2;593
5;2030
3;823
5;1215
5;1565
6;2344
4;1175
5;1094
5;1040
1;630
8;3149
3;985
7;2286
4;1928
5;1625
6;1215
5;1542
7;1775
5;1521
1;837
5;3256
3;3932
8;2982
8;2715
4;1710
8;2608
5;1823
9;2984
2;958
8;2367
8;3519
7;2215
3;1152
4;1070
5;1328
1;1128
3;912
9;3963
3;1409
5;1827
6;2168
8;2694
4;1440
1;1025
4;1218
6;2094
2;942
9;3038
6;1730
9;2524
6;1702
7;1585
1;786
5;1653
6;1238
3;1160
7;3026
3;1044
5;2350
6;1445
5;1765
5;1379
7;1426
6;3285
9;4641
8;2705
5;1672
5;1412
9;2254
5;1759
7;2277
9;2415
2;1008
7;1916
9;6915
4;1369
5;1190
5;1349
6;1941
8;2291
1;1516
1;827
3;1080
5;1953
5;1108
5;1285
2;1108
6;2824
8;2775
8;2331
9;2840
6;1801
7;3197
4;1562
8;1809
2;974
2;839
2;649
3;1038
6;1552
5;1747
1;1016
8;8228
6;2262
7;4683
1;751
7;6163
9;2765
5;2274
2;991
3;798
4;1321
6;2717
3;1015
4;1168
4;1037
8;3712
3;1485
7;2365
6;2158
6;1436
7;3551
5;2426
3;1240
6;2191
3;584
3;2831
5;1746
5;1518
5;1383
5;1167
2;1144
5;1381
9;2736
9;2070
7;2263
9;1984
1;909
8;2255
4;1231
1;783
5;1550
5;1255
1;639
7;1889
4;2172
2;831
4;1439
4;935
4;991
6;1407
2;1055
7;1537
1;741
4;1030
5;1422
5;1591
2;823
4;1120
6;1606
4;1271
1;640
8;3460
5;1327
4;1309
7;1839
2;1071
1;703
5;1272
9;3952
6;2983
5;1518
8;1552
2;789
2;647
9;3775
3;3050
8;2842
1;1294
5;1930
1;958
2;948
5;1544
3;1012
8;3596
5;1636
3;1224
7;2716
6;2324
4;1206
6;2352
9;2492
6;1744
1;1222
2;948
9;3154
5;2250
7;3542
2;1014
8;2378
5;1768
3;1012
5;1540
8;2942
4;1368
5;1690
4;1642
6;3718
3;1388
8;2262
8;4440
5;1954
7;4840
5;1878
8;5330
2;1292
5;1528
5;1638
5;1266
5;1724
5;1370
6;2900
4;1738
8;7414
9;5680
6;2136
3;3095
4;1036
4;958
8;2269
4;1171
1;913
6;2639
5;1234
5;1309
1;986
8;1972
1;848
4;918
6;1923
4;1101
8;1993
7;2222
5;1586
4;941
3;860
4;1176
3;922
4;910
2;927
2;857
1;675
6;1562
2;1100
3;1031
1;725
9;3034
6;2495
5;2210
2;860
5;1178
5;1615
2;921
3;892
8;1728
3;1650
1;1141
5;1879
4;1200
7;1980
5;1772
6;1610
3;1237
5;1337
7;2912
1;1060
2;793
9;2726
2;960
7;2093
5;1627
5;2651
8;2303
4;1304
8;3030
4;1341
4;1121
8;2217
1;1233
5;2648
2;1040
5;1284
4;1099
6;1874
6;2381
4;1140
2;907
6;1880
9;2246
7;3572
5;2141
2;1078
2;782
2;754
5;1396
1;941
4;1245
5;1693
8;2391
5;1349
3;978
3;3692
8;2554
8;2172
8;2200
1;917
7;2161
8;1953
7;1787
3;1767
4;1128
8;2257
3;972
8;2138
4;1771
2;934
5;1511
9;3897
6;1730
5;3380
4;1551
6;3053
9;3119
5;1899
6;1542
2;1090
9;2942
6;3101
5;2102
7;2093
1;982
9;2942
2;994
9;3338
5;1773
1;925
4;1410
6;1628
8;2031
5;1537
8;2474
7;1910
5;2537
7;2607
6;2702
8;2484
5;2415
7;1885
6;2356
6;2543
7;2348
6;2075
7;1922
9;4025
6;1623
8;2982
9;2842
8;4350
7;1977
1;1082
2;845
5;2307
5;1476
6;1938
5;2914
9;3126
7;2230
1;1022
9;3583
4;1193
