nb;time
7;2135
7;1375
5;1167
6;1304
1;599
3;1239
3;615
6;1951
7;1343
5;1744
5;943
5;879
5;992
6;1455
6;1063
4;1160
6;1215
1;679
5;1640
8;1904
2;702
5;1975
4;903
8;1608
3;783
7;1614
4;1055
4;848
5;807
1;598
5;832
5;896
4;782
3;894
7;2306
5;1200
2;859
1;624
1;712
7;1945
5;4079
1;1047
4;1513
3;1049
1;606
7;2011
9;3056
2;660
5;1925
8;1841
3;974
9;1635
7;2229
2;835
1;596
7;1801
5;1997
1;921
7;2154
1;576
6;2564
2;773
5;1386
9;2800
9;2998
5;3436
6;1355
6;3367
1;762
5;2686
2;924
8;2030
5;1489
6;1845
4;2689
1;1132
9;2234
7;2518
6;2688
5;1320
2;981
6;1977
5;1802
6;2247
7;1305
8;2316
9;2674
2;1427
3;905
5;1722
4;1031
1;891
3;1383
5;1530
8;4964
5;1227
9;3396
4;1176
1;890
2;670
7;1887
7;1795
8;2506
6;2052
1;1023
5;3923
2;1082
2;918
4;1123
5;1534
5;1056
9;2446
5;1482
5;1370
2;1123
7;1868
3;887
7;1643
4;3896
2;1140
4;1003
5;969
5;2322
4;1302
2;701
4;1221
4;743
7;2868
5;1949
2;731
1;734
9;1219
6;3430
7;2262
3;1103
3;693
5;2814
9;4857
7;2282
5;1686
5;2186
1;744
7;2445
6;1632
9;3377
1;673
2;541
5;2097
3;1019
9;2249
7;2382
3;998
7;2601
8;2396
5;2400
5;1049
7;3293
3;1005
2;794
5;2428
6;2008
4;1206
1;707
3;6887
9;3767
2;1796
8;3122
2;1204
2;677
2;658
6;3148
4;1463
5;1632
5;1470
3;1109
4;1051
3;858
3;695
5;1781
9;2609
5;1887
5;884
9;2938
2;1143
3;853
4;1109
5;954
9;2902
7;2125
4;929
2;1295
9;2741
5;2175
3;985
5;1230
3;941
3;761
5;1155
7;1740
2;1034
5;1087
5;1538
5;1868
6;3524
9;2890
9;2012
6;2861
5;2423
2;1179
4;1587
6;1716
5;1678
5;1253
7;1868
2;1225
9;1343
9;1020
3;1239
5;1411
5;5288
3;1152
8;3571
8;2322
3;1105
1;1036
7;2642
7;2897
5;1679
5;1624
7;2235
5;1948
2;1302
4;1673
5;1641
6;1895
8;2667
4;1250
4;1416
5;2366
2;1288
6;3098
9;1456
4;1375
4;2740
3;6079
6;2258
6;1860
6;1503
1;1522
8;2768
7;2174
5;1411
2;1126
6;1757
2;1290
4;1414
7;2013
8;2411
9;2192
2;782
1;617
8;2848
6;2862
5;1430
4;1363
7;3405
5;2217
4;1426
2;1238
5;1930
3;527
1;876
3;754
5;1118
1;529
5;2748
9;1405
4;844
3;711
4;613
8;1042
7;1412
2;766
1;623
2;667
4;660
6;821
9;1089
9;2214
9;1125
1;883
9;1501
5;904
3;7597
4;1266
6;44
6;259
5;727
4;234
5;619
7;127
7;175
3;114
4;15
2;290
8;111
9;9
5;247
6;8
5;568
4;1287
2;3
9;197
5;2526
3;287
7;168
9;9
6;145
8;210
5;13
5;175
6;144
3;22
2;153
1;767
4;3069
2;180
7;21
7;184
8;1171
5;224
3;172
2;333
3;3612
4;2421
5;1557
3;1238
2;930
6;2769
7;3023
4;1356
3;886
8;3126
6;1823
5;1511
3;4585
7;3208
1;1341
5;1446
1;817
2;916
7;6813
4;1495
5;2009
4;1024
2;1164
6;1703
5;1176
3;1162
2;1080
5;2671
1;935
2;992
4;1264
8;2146
9;3072
1;1318
3;920
5;2518
5;1355
1;951
5;1231
2;967
9;2952
3;1043
5;2375
5;2671
4;1153
4;2049
5;2044
1;988
5;1273
9;3090
7;9711
4;2063
6;2120
2;1485
3;1048
2;815
5;2117
1;1159
5;1462
3;1064
5;1372
8;3337
3;1059
2;828
5;1408
2;143
2;112
8;40
3;964
3;319
8;64
6;87
7;938
5;87
3;104
3;167
3;280
5;1944
7;999
9;98
8;62
3;160
9;192
9;1525
1;1896
9;831
8;47
5;335
5;223
1;771
5;757
3;180
4;10
5;68
1;172
9;237
8;6141
9;1010
2;2595
1;1142
9;287
9;327
6;86
5;424
5;191
2;288
5;440
5;1966
1;215
6;712
8;302
8;400
6;151
9;177
3;528
4;556
7;147
7;3033
3;198
7;196
5;195
5;320
9;55
2;1048
4;176
2;199
7;288
5;132
3;707
5;347
2;715
2;447
6;245
6;338
9;232
3;543
7;167
4;1802
5;240
3;224
3;598
6;237
5;426
7;2158
5;991
6;215
2;56
6;221
9;242
2;1100
6;64
5;144
9;117
5;161
5;375
5;1674
5;1566
9;248
8;29
7;26
6;112
3;38
9;1330
8;177
1;127
3;43
1;244
3;79
4;44
3;264
5;75
2;1063
7;175
9;311
8;15
3;184
8;152
6;105
6;287
4;120
4;719
5;2481
2;1393
2;785
5;1156
5;950
4;1164
9;1466
1;1028
7;1752
1;675
1;577
9;1028
9;1398
9;964
5;1699
2;995
6;1863
8;1561
8;2213
3;1109
6;1472
4;1481
1;879
3;950
3;772
4;916
4;1030
5;1244
7;1243
4;1585
4;1113
5;1569
3;985
8;1380
7;3070
1;843
5;1288
2;694
6;937
1;801
7;2095
1;724
9;1290
9;918
4;1197
5;1372
7;1336
2;887
2;670
5;1632
6;1096
9;1523
5;1077
3;1079
1;708
7;1777
7;929
8;1569
6;1307
9;2884
5;1882
7;1571
5;1448
8;1721
1;844
4;2026
8;1202
5;2644
5;1298
3;1034
2;839
5;1935
4;1815
9;1846
4;1425
9;1325
8;1108
6;6027
7;2131
2;1102
9;1286
5;1449
2;876
5;912
6;1686
1;750
8;1564
4;1571
9;5119
2;983
5;1087
1;737
5;768
5;1032
3;903
2;718
5;765
3;1799
5;1175
6;3115
1;769
2;892
3;6134
4;1450
4;1683
8;4909
7;2567
5;1721
8;1836
3;1257
4;1762
3;1505
3;826
7;2172
3;1769
3;1193
5;1862
5;1276
2;2303
3;1452
7;3255
5;1675
6;2196
5;2079
7;4052
6;2134
5;2109
2;1101
5;2104
4;1888
8;2416
2;1229
6;1758
5;1842
3;1436
3;1630
7;2302
5;1304
2;1016
3;1116
3;801
7;3049
3;1306
2;838
2;753
2;628
7;3162
9;2718
6;2423
6;2332
3;2052
7;3312
5;1512
1;1067
5;1976
2;1358
5;1612
8;4692
3;1352
9;3041
3;1379
1;772
6;2128
5;1624
5;2188
6;2100
9;3649
3;1366
4;1560
5;2139
3;1333
7;3922
2;916
7;3094
4;1415
4;1652
4;809
1;783
6;2424
4;1506
4;1353
4;642
5;1761
9;3278
4;1211
1;667
5;1831
9;2902
8;2726
2;777
7;2470
1;730
1;570
7;2745
9;2609
6;2243
5;1905
5;1929
3;4155
7;3025
7;3643
9;4388
3;1336
3;1763
3;799
1;728
6;1858
9;2455
1;624
6;2167
8;2520
1;935
4;1088
6;1829
2;696
5;1672
7;2138
3;936
1;798
3;976
8;2767
5;1679
9;3320
4;1856
5;1313
9;2336
1;903
6;1756
1;617
5;1439
5;936
6;1963
1;622
3;1321
9;1390
4;1239
5;1793
6;2367
9;2638
3;919
1;785
3;904
5;2607
7;1920
5;2358
5;1543
1;935
6;1863
1;616
5;4674
7;3002
2;755
1;689
3;373
5;2575
4;1704
9;3576
5;1693
5;1727
3;1147
4;1073
2;800
3;940
9;2069
8;2793
7;1685
4;1990
9;2435
8;2583
3;1120
2;1132
9;2396
4;1822
1;911
2;972
8;1499
5;1747
3;893
8;6062
9;3001
6;3341
5;1651
9;2230
6;1891
2;893
4;1557
3;879
9;3044
3;755
5;1254
3;2236
5;1598
4;1253
2;1134
9;3640
7;2724
5;1486
1;991
4;2032
1;574
5;1445
7;2517
1;1025
9;2838
6;1839
9;1860
5;1849
3;1021
7;2914
3;818
5;1407
3;913
8;3793
5;1270
2;793
3;884
9;2146
1;1024
7;3362
8;3347
6;2563
6;2495
1;1079
5;1502
7;1932
2;948
9;2456
6;2277
8;3680
8;1919
9;3593
1;959
1;608
5;1415
8;1911
9;3311
6;2866
3;1380
4;1225
4;1277
2;990
7;1976
8;2538
6;1437
9;2034
2;967
9;2531
6;1745
5;1675
7;2676
5;1326
1;661
6;1904
4;1171
5;1307
9;2397
5;2782
5;894
5;1152
5;910
2;940
3;1068
1;1125
7;3039
1;874
6;2345
3;1352
8;1393
2;747
1;662
2;1011
5;1563
8;2002
7;3934
4;1737
5;956
6;2962
5;1603
5;995
9;3019
5;1040
5;973
5;1861
8;2537
7;3823
1;1039
1;646
7;2618
2;888
7;2929
1;824
8;3098
4;1098
6;1916
6;1697
7;1517
5;2031
6;1636
